Right foot rotation,Left foot rotation
-7.16029,-3.79879
-7.25764,-3.91433
-7.32325,-4.0201
-7.35423,-4.11512
-7.34867,-4.19888
-7.30576,-4.27128
-7.22593,-4.33254
-7.1109,-4.38322
-6.96369,-4.4241
-6.78855,-4.45619
-6.59084,-4.48066
-6.37678,-4.49876
-6.15307,-4.5118
-5.92658,-4.521
-5.70386,-4.52751
-5.49091,-4.53231
-5.29289,-4.53624
-5.11404,-4.53999
-4.95761,-4.54412
-4.82585,-4.54911
-4.72002,-4.55535
-4.64047,-4.56321
-4.58671,-4.57305
-4.55755,-4.58523
-4.55122,-4.60013
-4.56551,-4.61814
-4.59786,-4.63965
-4.64546,-4.66506
-4.70536,-4.69475
-4.77456,-4.72905
-4.85009,-4.76818
-4.9291,-4.81223
-5.00897,-4.86111
-5.08734,-4.91453
-5.16216,-4.97202
-5.23174,-5.03294
-5.29472,-5.09648
-5.35012,-5.16167
-5.39728,-5.22738
-5.43586,-5.29236
-5.46584,-5.35535
-5.48744,-5.41512
-5.50117,-5.47062
-5.50771,-5.52096
-5.50794,-5.56548
-5.50281,-5.60376
-5.49339,-5.63558
-5.48074,-5.661
-5.46592,-5.68027
-5.44995,-5.69386
-5.43375,-5.70239
-5.41815,-5.70659
-5.40381,-5.70721
-5.39125,-5.705
-5.38083,-5.70062
-5.37277,-5.69466
-5.36717,-5.68757
-5.36406,-5.67964
-5.36337,-5.67104
-5.365,-5.66177
-5.36882,-5.65171
-5.37467,-5.64064
-5.38238,-5.62823
-5.39178,-5.61417
-5.40264,-5.59813
-5.41473,-5.57984
-5.42776,-5.55911
-5.44143,-5.53587
-5.45542,-5.51018
-5.4694,-5.48223
-5.48308,-5.45234
-5.49624,-5.42092
-5.50876,-5.38851
-5.52066,-5.35568
-5.53209,-5.32308
-5.54332,-5.29135
-5.55475,-5.26116
-5.56688,-5.23316
-5.58031,-5.20797
-5.59572,-5.18617
-5.61379,-5.16824
-5.63521,-5.15457
-5.66062,-5.14534
-5.6906,-5.14059
-5.72567,-5.14014
-5.76625,-5.14366
-5.81265,-5.15064
-5.86509,-5.16046
-5.92362,-5.17238
-5.98823,-5.18564
-6.05878,-5.19947
-6.13503,-5.21319
-6.21661,-5.2263
-6.30304,-5.23846
-6.39364,-5.24956
-6.48755,-5.25968
-6.58367,-5.26903
-6.68067,-5.27789
-6.77699,-5.28663
-6.87095,-5.29562
-6.96089,-5.30524
-7.04528,-5.31588
-7.12289,-5.32788
-7.19283,-5.34153
-7.25466,-5.357
-7.30834,-5.37438
-7.35422,-5.39359
-7.39286,-5.41446
-7.42491,-5.43672
-7.45092,-5.46005
-7.47122,-5.48405
-7.48589,-5.50834
-7.49469,-5.53246
-7.49718,-5.55597
-7.49277,-5.57838
-7.48084,-5.5992
-7.46087,-5.61799
-7.43254,-5.63435
-7.39576,-5.64801
-7.35067,-5.65879
-7.2976,-5.66667
-7.23702,-5.67178
-7.16948,-5.67431
-7.09556,-5.67456
-7.01585,-5.6728
-6.93094,-5.66931
-6.84138,-5.66429
-6.7477,-5.6579
-6.65045,-5.65026
-6.55023,-5.64152
-6.44772,-5.63183
-6.34377,-5.62142
-6.2394,-5.61058
-6.13575,-5.59972
-6.03404,-5.58932
-5.93537,-5.5799
-5.84073,-5.57201
-5.75092,-5.5662
-5.66665,-5.56291
-5.58856,-5.56246
-5.51728,-5.56502
-5.45342,-5.57054
-5.39741,-5.5788
-5.34949,-5.58938
-5.30952,-5.60174
-5.27701,-5.61527
-5.25101,-5.62929
-5.23017,-5.64316
-5.21274,-5.65626
-5.19669,-5.66807
-5.17985,-5.67814
-5.16,-5.68611
-5.13508,-5.69176
-5.10328,-5.69495
-5.06313,-5.69568
-5.01354,-5.69407
-4.95393,-5.69035
-4.88413,-5.68487
-4.8045,-5.67809
-4.71581,-5.67054
-4.61926,-5.66282
-4.51641,-5.65554
